Age,Credit amount,Duration,Purpose,Risk,Risk_encode,Predicted_risk,Predicted_prob_risk
67,1169,6,radio/TV,good,0,0,0.08382861414147445
22,5951,48,radio/TV,bad,1,1,0.6499900138950617
49,2096,12,education,good,0,0,0.2607919847662834
45,7882,42,furniture/equipment,good,0,1,0.5148568265255546
53,4870,24,car,bad,1,1,0.7088487294146683
35,9055,36,education,good,0,1,0.5332524718792482
53,2835,24,furniture/equipment,good,0,0,0.34223608705400366
35,6948,36,car,good,0,0,0.33907881358289466
61,3059,12,radio/TV,good,0,0,0.2277619516181955
28,5234,30,car,bad,1,1,0.6109305505525959
25,1295,12,car,bad,1,1,0.7470169390255945
24,4308,48,business,bad,1,1,0.8035557437060895
22,1567,12,radio/TV,good,0,1,0.6026990943305983
60,1199,24,car,bad,1,1,0.5801411053193923
28,1403,15,car,good,0,1,0.5437575166621665
32,1282,24,radio/TV,bad,1,1,0.6101032336973737
53,2424,24,radio/TV,good,0,0,0.2514911579187705
25,8072,30,business,good,0,1,0.7843360383775442
44,12579,24,car,bad,1,1,0.7091871491147576
31,3430,24,radio/TV,good,0,0,0.494097314943508
48,2134,9,car,good,0,0,0.2091611701101113
44,2647,6,radio/TV,good,0,0,0.10074971418735061
48,2241,10,car,good,0,0,0.21228932279818344
44,1804,12,car,good,0,0,0.35055473238334584
26,2069,10,furniture/equipment,good,0,0,0.41886802145142765
36,1374,6,furniture/equipment,good,0,0,0.1776380004341162
39,426,6,radio/TV,good,0,0,0.07193534734379396
42,409,12,radio/TV,good,0,0,0.2204366549876347
34,2415,7,radio/TV,good,0,0,0.1043078627089331
63,6836,60,business,bad,1,1,0.7184939525842351
36,1913,18,business,good,0,0,0.4348326433030815
27,4020,24,furniture/equipment,good,0,1,0.6861003277652702
30,5866,18,car,good,0,0,0.3955720212847663
57,1264,12,business,good,0,0,0.32765892229716154
33,1474,12,furniture/equipment,good,0,0,0.3940376708500566
25,4746,45,radio/TV,bad,1,1,0.7106884648184724
31,6110,48,education,good,0,0,0.4604714512428484
37,2100,18,radio/TV,bad,1,0,0.40941823935586574
37,1225,10,domestic appliances,good,0,0,0.3805128939290261
24,458,9,radio/TV,good,0,0,0.48179280050745615
30,2333,30,radio/TV,good,0,1,0.5123745970389607
26,1158,12,radio/TV,good,0,0,0.4256729642163412
44,6204,18,repairs,good,0,0,0.47438938954415216
24,6187,30,car,good,0,1,0.6104616022150333
58,6143,48,car,bad,1,1,0.6496491694712486
35,1393,11,car,good,0,0,0.30126941813094404
39,2299,36,radio/TV,good,0,0,0.4741105241338376
23,1352,6,car,good,0,0,0.46291971275772453
39,7228,11,car,good,0,0,0.3725546977389606
28,2073,12,radio/TV,good,0,0,0.4298509156836143
29,2333,24,furniture/equipment,good,0,1,0.6033410185683301
30,5965,27,car,good,0,0,0.37600284815337476
25,1262,12,radio/TV,good,0,1,0.5339485325573349
31,3378,18,car,good,0,0,0.47889630482063794
57,2225,36,car,bad,1,0,0.4570778280755238
26,783,6,car,good,0,0,0.3818008692430943
52,6468,12,radio/TV,bad,1,1,0.5980215439430028
31,9566,36,radio/TV,good,0,1,0.534194908751952
23,1961,18,car,good,0,1,0.6661321144876685
